epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1417.02,2.69586,4.75661,3.92358,0.00216,0.3783,0.00232,0.00078,2.31849,5.94208,3.47632,0.000332016,0.000332016,0.000332016
2,2767.86,2.39537,4.35554,3.1433,0.00217,0.42236,0.00225,0.00075,2.0143,4.85992,3.06276,0.000658762,0.000658762,0.000658762
3,4094.98,1.99978,4.03886,2.64448,0.00299,0.71256,0.00603,0.00273,1.47567,4.35512,2.24387,0.000978909,0.000978909,0.000978909
4,5559.3,1.76553,3.71162,2.34049,0.00398,0.73826,0.01099,0.00442,1.66898,4.58913,2.24896,0.0009703,0.0009703,0.0009703
